iter	Passed	Remaining
0	0	38
1	0	28
2	0	29
3	1	30
4	1	31
5	2	31
6	2	30
7	2	29
8	2	29
9	3	27
10	3	27
11	3	26
12	3	26
13	4	25
14	4	25
15	4	24
16	5	24
17	5	24
18	5	23
19	5	23
20	6	22
21	6	21
22	6	21
23	6	21
24	7	21
25	7	21
26	7	21
27	8	21
28	8	20
29	8	20
30	8	19
31	9	19
32	9	19
33	9	19
34	10	18
35	10	18
36	10	18
37	11	17
38	11	17
39	11	17
40	11	17
41	12	16
42	12	16
43	12	16
44	13	16
45	13	15
46	13	15
47	13	15
48	14	14
49	14	14
50	14	14
51	15	14
52	15	13
53	15	13
54	16	13
55	16	13
56	16	12
57	17	12
58	17	12
59	17	11
60	18	11
61	18	11
62	18	11
63	19	10
64	19	10
65	19	10
66	20	9
67	20	9
68	20	9
69	20	8
70	21	8
71	21	8
72	21	8
73	22	7
74	22	7
75	22	7
76	23	6
77	23	6
78	23	6
79	23	5
80	24	5
81	24	5
82	25	5
83	25	4
84	25	4
85	25	4
86	26	3
87	26	3
88	27	3
89	27	3
90	27	2
91	28	2
92	28	2
93	28	1
94	29	1
95	29	1
96	29	0
97	29	0
98	30	0
99	30	0
